703 : 6186.npz | File is not a zip file
704 : 6197.npz | [Errno 22] Invalid argument
705 : 6201.npz | [Errno 22] Invalid argument
706 : 6208.npz | [Errno 22] Invalid argument
707 : 6213.npz | [Errno 22] Invalid argument
708 : 6233.npz | [Errno 22] Invalid argument
709 : 6234.npz | File is not a zip file
710 : 624.npz | [Errno 22] Invalid argument
711 : 6240.npz | File is not a zip file
712 : 6241.npz | File is not a zip file
713 : 6244.npz | [Errno 22] Invalid argument
714 : 6249.npz | File is not a zip file
715 : 6258.npz | File is not a zip file
716 : 6276.npz | File is not a zip file
717 : 6280.npz | File is not a zip file
718 : 6284.npz | [Errno 22] Invalid argument
719 : 6297.npz | File is not a zip file
720 : 6301.npz | File is not a zip file
721 : 6307.npz | File is not a zip file
722 : 6308.npz | File is not a zip file
723 : 632.npz | File is not a zip file
724 : 6326.npz | [Errno 22] Invalid argument
725 : 6333.npz | File is not a zip file
726 : 6339.npz | File is not a zip file
727 : 6348.npz | File is not a zip file
728 : 6351.npz | File is not a zip file
729 : 6357.npz | File is not a zip file
